"f2","f3","f4","f5","f13","f14","f31","f32","f108","f161","f249","f325","f333","f334"
2.8,40,0.8,28,11,"上证50购26年7月3350",2.6,2.8,245,3350,23.4,0.0005,"上证50",2938.65
321,39.57,91,735,11,"中证1000购26年9月8600",318.2,320.2,4045,8600,19.78,0.5001,"中证1000",8521.23
566,39.07,159,281,11,"中证1000购26年8月8000",557.2,587.2,171,8000,12.77,0.7759,"中证1000",8521.23
403.2,38.84,112.8,949,11,"中证1000购26年9月8400",403,405,3410,8400,18.72,0.5855,"中证1000",8521.23
28,38.61,7.8,351,11,"沪深300购26年9月5600",27.6,29,1102,5600,20.61,0.0486,"沪深300",4891.71
968.8,38.6,269.8,134,11,"中证1000购26年6月7500",966.2,983.4,247,7500,0,1,"中证1000",8521.23
845,38.57,235.2,98,11,"中证1000购26年7月7600",835.8,849.8,186,7600,0,0.9669,"中证1000",8521.23
29,38.1,8,86,11,"沪深300购26年8月5300",27.4,30,158,5300,17.27,0.1236,"沪深300",4891.71
5.8,38.1,1.6,189,11,"上证50购26年7月3200",5.6,6,324,3200,19.26,0.0175,"上证50",2938.65
8,37.93,2.2,235,11,"上证50购26年7月3150",8.4,8.8,462,3150,17.93,0.0437,"上证50",2938.65
94,37.43,25.6,559,11,"上证50购26年7月2850",96,97.8,961,2850,7.33,0.7948,"上证50",2938.65
370.6,37.26,100.6,501,11,"沪深300购26年6月4500",377.8,380.6,947,4500,0,0.9999,"沪深300",4891.71
349,37.08,94.4,202,11,"沪深300购26年7月4500",348,362.4,203,4500,0,0.9699,"沪深300",4891.71
628.6,36.36,167.6,20,11,"中证1000购26年8月7900",623.6,653.6,113,7900,0,0.8147,"中证1000",8521.23
499.8,35.82,131.8,564,11,"中证1000购26年9月8200",499,500,2502,8200,17.19,0.6688,"中证1000",8521.23
247.8,35.41,64.8,827,11,"沪深300购26年9月4700",246,248.8,3771,4700,11.85,0.7242,"沪深300",4891.71
4.6,35.29,1.2,67,11,"上证50购26年7月3250",4.2,4.6,315,3250,20.83,0.0062,"上证50",2938.65
107.8,35.09,28,240,11,"沪深300购26年8月4900",112,120,400,4900,12.62,0.5169,"沪深300",4891.71
17.8,34.85,4.6,7,11,"上证50购26年8月3200",17.2,18.2,25,3200,18.13,0.076,"上证50",2938.65
1069,34.63,275,320,11,"中证1000购26年6月7400",1052.4,1074,1061,7400,0,1,"中证1000",8521.23
37.8,34.04,9.6,207,11,"上证50购26年9月3200",37,38,1073,3200,20,0.1187,"上证50",2938.65
610.4,33.86,154.4,1271,11,"中证1000购26年9月8000",596.6,607,6717,8000,14.56,0.7463,"中证1000",8521.23
200,33.33,50,86,11,"中证1000购26年12月9400",195.2,203.4,1242,9400,19.95,0.2994,"中证1000",8521.23
0.8,33.33,0.2,102,11,"中证1000沽26年6月6400",0.6,0.8,1322,6400,71.42,0,"中证1000",8521.23
6.4,33.33,1.6,370,11,"沪深300购26年7月5400",6.2,6.6,587,5400,19.78,0.0169,"沪深300",4891.71
3.2,33.33,0.8,34,11,"上证50购26年7月3300",3,3.2,223,3300,21.7,0.002,"上证50",2938.65
0.8,33.33,0.2,989,11,"上证50购26年6月3100",0.8,1,2897,3100,18.43,0.0032,"上证50",2938.65
933.6,32.8,230.6,65,11,"中证1000购26年7月7500",925.6,955.6,148,7500,0,0.9796,"中证1000",8521.23
240,32.74,59.2,98,11,"中证1000购26年12月9200",239.2,240,934,9200,19.41,0.3501,"中证1000",8521.23
114.6,32.64,28.2,635,11,"中证1000购26年12月10000",114.2,116.8,667,10000,21.28,0.1755,"中证1000",8521.23
340.6,32.53,83.6,133,11,"中证1000购26年12月8800",334,342.8,1009,8800,17.99,0.4629,"中证1000",8521.23
137.4,32.12,33.4,250,11,"中证1000购26年12月9800",138.2,142.8,551,9800,20.83,0.2119,"中证1000",8521.23
731.4,31.5,175.2,155,11,"中证1000购26年9月7800",719.2,727.2,1412,7800,0,0.8146,"中证1000",8521.23
173.4,31.36,41.4,18,11,"沪深300购26年8月4750",182.8,189.6,35,4750,8.8,0.6976,"沪深300",4891.71
166.2,31.28,39.6,264,11,"中证1000购26年12月9600",166.6,168,1636,9600,20.42,0.2532,"中证1000",8521.23
418,30.95,98.8,134,11,"沪深300购26年6月4450",424.2,430.4,253,4450,0,1,"沪深300",4891.71
1168.2,30.82,275.2,91,11,"中证1000购26年6月7300",1151.2,1197.6,152,7300,0,1,"中证1000",8521.23
480.2,30.7,112.8,270,11,"中证1000购26年12月8400",480.2,487.6,1064,8400,16.06,0.584,"中证1000",8521.23
306.4,30.61,71.8,170,11,"沪深300购26年9月4600",299.6,313,1237,4600,0,0.8084,"沪深300",4891.71
130.4,30.4,30.4,1014,11,"上证50购26年7月2800",126.6,130.4,738,2800,0,0.8982,"上证50",2938.65
405,30.06,93.6,190,11,"中证1000购26年12月8600",398,409,1502,8600,17.12,0.523,"中证1000",8521.23
2.6,30,0.6,115,11,"上证50购26年7月3400",2.2,2.6,756,3400,25.23,0.0001,"上证50",2938.65
1023.4,29.84,235.2,96,11,"中证1000购26年7月7400",1009.8,1044.8,243,7400,0,0.9879,"中证1000",8521.23
53.4,29.61,12.2,242,11,"上证50购26年9月3100",51,53.8,1264,3100,18.38,0.2387,"上证50",2938.65
15.8,29.51,3.6,127,11,"上证50购26年9月3500",15.4,16,1299,3500,24.46,0.006,"上证50",2938.65
389.2,29.39,88.4,14,11,"沪深300购26年7月4450",393.2,408.2,56,4450,0,0.9832,"沪深300",4891.71
187.4,28.89,42,413,11,"上证50购26年6月2750",187.4,190.6,276,2750,0,0.9997,"上证50",2938.65
